Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,1,Max Verstappen VER,Red Bull Racing RBPT,62,16:17:22,1:07.275,231.063
2,16,Charles Leclerc LEC,Ferrari,62,16:17:19,1:07.583,230.01
3,14,Fernando Alonso ALO,Alpine Renault,62,16:18:42,1:08.558,226.739
4,55,Carlos Sainz SAI,Ferrari,55,16:08:29,1:08.649,226.438
5,44,Lewis Hamilton HAM,Mercedes,63,16:19:02,1:09.000,225.286
6,63,George Russell RUS,Mercedes,61,16:17:00,1:09.075,225.042
7,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,61,16:17:25,1:09.266,224.421
8,4,Lando Norris NOR,McLaren Mercedes,62,16:18:21,1:09.304,224.298
9,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,50,16:04:04,1:09.380,224.053
10,31,Esteban Ocon OCO,Alpine Renault,62,16:18:10,1:09.559,223.476
11,47,Mick Schumacher MSC,Haas Ferrari,50,16:03:34,1:09.625,223.264
12,23,Alexander Albon ALB,Williams Mercedes,60,16:16:14,1:09.669,223.123
13,3,Daniel Ricciardo RIC,McLaren Mercedes,61,16:17:17,1:09.924,222.309
14,20,Kevin Magnussen MAG,Haas Ferrari,61,16:17:11,1:09.938,222.265
15,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,62,16:18:51,1:10.001,222.065
16,22,Yuki Tsunoda TSU,AlphaTauri RBPT,62,16:18:50,1:10.023,221.995
17,18,Lance Stroll STR,Aston Martin Aramco Mercedes,64,16:21:05,1:10.048,221.916
18,10,Pierre Gasly GAS,AlphaTauri RBPT,61,16:17:33,1:10.104,221.739
19,6,Nicholas Latifi LAT,Williams Mercedes,14,15:20:33,1:10.890,219.28
20,11,Sergio Perez PER,Red Bull Racing RBPT,5,15:10:13,1:11.843,216.371
