Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,63,George Russell RUS,Mercedes,61,16:28:58,1:13.785,210.237
2,44,Lewis Hamilton HAM,Mercedes,63,16:31:27,1:13.942,209.791
3,55,Carlos Sainz SAI,Ferrari,65,16:33:58,1:13.953,209.76
4,14,Fernando Alonso ALO,Alpine Renault,62,16:30:18,1:14.164,209.163
5,1,Max Verstappen VER,Red Bull Racing RBPT,64,16:32:49,1:14.195,209.076
6,16,Charles Leclerc LEC,Ferrari,63,16:31:31,1:14.253,208.912
7,11,Sergio Perez PER,Red Bull Racing RBPT,62,16:30:16,1:14.283,208.828
8,18,Lance Stroll STR,Aston Martin Aramco Mercedes,50,16:11:50,1:14.831,207.299
9,31,Esteban Ocon OCO,Alpine Renault,65,16:34:07,1:15.093,206.575
10,47,Mick Schumacher MSC,Haas Ferrari,63,16:31:41,1:15.251,206.142
11,6,Nicholas Latifi LAT,Williams Mercedes,59,16:26:45,1:15.327,205.934
12,10,Pierre Gasly GAS,AlphaTauri RBPT,64,16:32:57,1:15.327,205.934
13,22,Yuki Tsunoda TSU,AlphaTauri RBPT,63,16:33:00,1:15.508,205.44
14,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,62,16:30:21,1:15.511,205.432
15,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,64,16:32:54,1:15.549,205.328
16,23,Alexander Albon ALB,Williams Mercedes,49,16:10:47,1:15.613,205.155
17,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,64,16:32:56,1:15.802,204.643
18,4,Lando Norris NOR,McLaren Mercedes,48,16:09:10,1:15.855,204.5
