Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,55,Carlos Sainz SAI,Ferrari,51,16:30:58,1:35.781,219.575
2,1,Max Verstappen VER,Red Bull Racing RBPT,30,15:55:33,1:37.491,215.724
3,63,George Russell RUS,Mercedes,51,16:30:42,1:37.548,215.598
4,44,Lewis Hamilton HAM,Mercedes,30,15:55:37,1:37.668,215.333
5,11,Sergio Perez PER,Red Bull Racing RBPT,45,16:20:19,1:37.780,215.086
6,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,52,16:33:20,1:37.963,214.685
7,16,Charles Leclerc LEC,Ferrari,4,15:10:18,1:38.088,214.411
8,14,Fernando Alonso ALO,Alpine Renault,53,16:34:25,1:38.160,214.254
9,31,Esteban Ocon OCO,Alpine Renault,53,16:34:39,1:38.684,213.116
10,10,Pierre Gasly GAS,AlphaTauri RBPT,53,16:34:48,1:38.786,212.896
11,4,Lando Norris NOR,McLaren Mercedes,43,16:17:27,1:39.037,212.356
12,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,43,16:17:38,1:39.044,212.341
13,47,Mick Schumacher MSC,Haas Ferrari,48,16:26:11,1:39.068,212.29
14,3,Daniel Ricciardo RIC,McLaren Mercedes,27,15:50:57,1:39.133,212.151
15,18,Lance Stroll STR,Aston Martin Aramco Mercedes,52,16:33:04,1:39.185,212.04
16,23,Alexander Albon ALB,Williams Mercedes,53,16:34:51,1:39.199,212.01
17,20,Kevin Magnussen MAG,Haas Ferrari,11,15:22:45,1:39.265,211.869
18,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,25,15:48:37,1:39.368,211.649
19,6,Nicholas Latifi LAT,Williams Mercedes,40,16:13:35,1:39.650,211.05
20,22,Yuki Tsunoda TSU,AlphaTauri RBPT,4,15:10:44,1:40.216,209.858
