Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,44,Lewis Hamilton HAM,Mercedes,57,16:24:16,1:21.386,193.787
2,16,Charles Leclerc LEC,Ferrari,57,16:24:32,1:21.622,193.227
3,11,Sergio Perez PER,Red Bull Racing RBPT,44,16:06:30,1:21.940,192.477
4,55,Carlos Sainz SAI,Ferrari,51,16:15:54,1:22.000,192.336
5,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,58,16:27:27,1:22.029,192.268
6,1,Max Verstappen VER,Red Bull Racing RBPT,45,16:07:26,1:22.126,192.041
7,18,Lance Stroll STR,Aston Martin Aramco Mercedes,51,16:17:04,1:22.437,191.317
8,6,Nicholas Latifi LAT,Williams Mercedes,60,16:30:47,1:22.478,191.221
9,63,George Russell RUS,Mercedes,57,16:24:09,1:22.766,190.556
10,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,51,16:17:09,1:22.824,190.423
11,4,Lando Norris NOR,McLaren Mercedes,47,16:11:00,1:23.043,189.92
12,23,Alexander Albon ALB,Williams Mercedes,43,16:06:22,1:23.047,189.911
13,47,Mick Schumacher MSC,Haas Ferrari,50,16:15:58,1:23.151,189.674
14,10,Pierre Gasly GAS,AlphaTauri RBPT,58,16:27:03,1:23.199,189.564
15,20,Kevin Magnussen MAG,Haas Ferrari,37,15:57:44,1:23.511,188.856
16,22,Yuki Tsunoda TSU,AlphaTauri RBPT,58,16:28:17,1:23.538,188.795
17,3,Daniel Ricciardo RIC,McLaren Mercedes,63,16:34:10,1:23.654,188.533
18,14,Fernando Alonso ALO,Alpine Renault,47,16:11:06,1:23.979,187.804
19,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,60,16:29:36,1:24.002,187.752
20,31,Esteban Ocon OCO,Alpine Renault,60,16:29:29,1:24.149,187.424
