Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,1,Max Verstappen VER,Red Bull Racing RBPT,55,16:24:32,1:18.446,225.281
2,16,Charles Leclerc LEC,Ferrari,63,16:36:07,1:18.574,224.914
3,11,Sergio Perez PER,Red Bull Racing RBPT,52,16:20:46,1:18.949,223.845
4,47,Mick Schumacher MSC,Haas Ferrari,55,16:26:33,1:18.999,223.704
5,22,Yuki Tsunoda TSU,AlphaTauri RBPT,61,16:33:29,1:20.544,219.412
6,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,43,16:08:51,1:20.758,218.831
7,4,Lando Norris NOR,McLaren Mercedes,61,16:33:03,1:20.903,218.439
8,63,George Russell RUS,Mercedes,57,16:27:45,1:20.962,218.28
9,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,47,16:14:34,1:21.211,217.61
10,20,Kevin Magnussen MAG,Haas Ferrari,61,16:33:43,1:21.238,217.538
11,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,61,16:34:13,1:21.286,217.41
12,6,Nicholas Latifi LAT,Williams Mercedes,62,16:35:37,1:21.338,217.271
13,44,Lewis Hamilton HAM,Mercedes,50,16:19:00,1:21.419,217.054
14,3,Daniel Ricciardo RIC,McLaren Mercedes,61,16:34:47,1:21.577,216.634
15,10,Pierre Gasly GAS,AlphaTauri RBPT,34,15:57:05,1:21.713,216.274
16,18,Lance Stroll STR,Aston Martin Aramco Mercedes,46,16:13:27,1:21.750,216.176
17,23,Alexander Albon ALB,Williams Mercedes,61,16:34:02,1:21.757,216.157
18,31,Esteban Ocon OCO,Alpine Renault,37,16:01:09,1:21.887,215.814
19,14,Fernando Alonso ALO,Alpine Renault,5,15:13:47,1:39.685,177.282
