Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,18,Lance Stroll STR,Aston Martin Aramco Mercedes,3,15:08:15,18.242,18.242
2,18,Lance Stroll STR,Aston Martin Aramco Mercedes,4,15:10:29,18.56,36.802
1,6,Nicholas Latifi LAT,Williams Mercedes,13,15:25:03,18.552,18.552
1,47,Mick Schumacher MSC,Haas Ferrari,14,15:26:23,19.039,19.039
1,31,Esteban Ocon OCO,Alpine Renault,17,15:30:30,19.128,19.128
1,1,Max Verstappen VER,Red Bull Racing RBPT,18,15:31:37,18.281,18.281
1,22,Yuki Tsunoda TSU,AlphaTauri RBPT,18,15:32:02,18.443,18.443
1,11,Sergio Perez PER,Red Bull Racing RBPT,20,15:34:33,17.434,17.434
1,4,Lando Norris NOR,McLaren Mercedes,20,15:34:40,17.556,17.556
1,3,Daniel Ricciardo RIC,McLaren Mercedes,21,15:36:06,18.15,18.15
1,10,Pierre Gasly GAS,AlphaTauri RBPT,21,15:36:15,18.926,18.926
1,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,21,15:36:22,18.38,18.38
1,16,Charles Leclerc LEC,Ferrari,22,15:37:04,17.973,17.973
1,44,Lewis Hamilton HAM,Mercedes,22,15:37:22,17.877,17.877
1,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,22,15:37:40,18.413,18.413
1,63,George Russell RUS,Mercedes,23,15:38:51,18.479,18.479
3,18,Lance Stroll STR,Aston Martin Aramco Mercedes,23,15:39:30,20.402,57.204
2,6,Nicholas Latifi LAT,Williams Mercedes,23,15:40:00,17.936,36.488
1,14,Fernando Alonso ALO,Alpine Renault,39,16:05:24,18.796,18.796
1,20,Kevin Magnussen MAG,Haas Ferrari,39,16:05:30,19.111,19.111
2,14,Fernando Alonso ALO,Alpine Renault,53,16:25:28,18.394,37.19
1,23,Alexander Albon ALB,Williams Mercedes,57,16:30:33,19.845,19.845
