Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis Hamilton HAM,Mercedes,1:26.633,,21
2,63,George Russell RUS,Mercedes,1:26.853,+0.220s,30
3,16,Charles Leclerc LEC,Ferrari,1:26.888,+0.255s,22
4,11,Sergio Perez PER,Red Bull Racing RBPT,1:26.967,+0.334s,23
5,36,Liam Lawson LAW,Red Bull Racing RBPT,1:27.201,+0.568s,22
6,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:27.268,+0.635s,20
7,39,Robert Shwartzman SHW,Ferrari,1:27.429,+0.796s,24
8,3,Daniel Ricciardo RIC,McLaren Mercedes,1:27.619,+0.986s,21
9,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:27.655,+1.022s,23
10,23,Alexander Albon ALB,Williams Mercedes,1:27.840,+1.207s,26
11,10,Pierre Gasly GAS,AlphaTauri RBPT,1:27.845,+1.212s,28
12,31,Esteban Ocon OCO,Alpine Renault,1:27.891,+1.258s,27
13,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:27.991,+1.358s,28
14,88,Robert Kubica KUB,Alfa Romeo Ferrari,1:28.064,+1.431s,22
15,45,Logan Sargeant SAR,Williams Mercedes,1:28.098,+1.465s,23
16,20,Kevin Magnussen MAG,Haas Ferrari,1:28.142,+1.509s,20
17,51,Pietro Fittipaldi FIT,Haas Ferrari,1:28.204,+1.571s,26
18,28,Patricio O'Ward OWA,McLaren Mercedes,1:28.350,+1.717s,22
19,82,Jack Doohan DOO,Alpine Renault,1:28.484,+1.851s,25
20,34,Felipe Drugovich DRU,Aston Martin Aramco Mercedes,1:28.672,+2.039s,23
