Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio Perez PER,Red Bull Racing RBPT,1:11.853,,29
2,16,Charles Leclerc LEC,Ferrari,1:11.857,+0.004s,31
3,1,Max Verstappen VER,Red Bull Racing RBPT,1:11.861,+0.008s,28
4,55,Carlos Sainz SAI,Ferrari,1:12.039,+0.186s,30
5,44,Lewis Hamilton HAM,Mercedes,1:12.040,+0.187s,25
6,63,George Russell RUS,Mercedes,1:12.055,+0.202s,24
7,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:12.157,+0.304s,30
8,47,Mick Schumacher MSC,Haas Ferrari,1:12.314,+0.461s,27
9,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:12.466,+0.613s,31
10,10,Pierre Gasly GAS,AlphaTauri RBPT,1:12.467,+0.614s,32
11,14,Fernando Alonso ALO,Alpine Renault,1:12.554,+0.701s,25
12,23,Alexander Albon ALB,Williams Mercedes,1:12.633,+0.780s,29
13,31,Esteban Ocon OCO,Alpine Renault,1:12.705,+0.852s,30
14,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:12.759,+0.906s,26
15,4,Lando Norris NOR,McLaren Mercedes,1:12.955,+1.102s,28
16,20,Kevin Magnussen MAG,Haas Ferrari,1:12.997,+1.144s,25
17,6,Nicholas Latifi LAT,Williams Mercedes,1:13.019,+1.166s,32
18,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:13.115,+1.262s,30
19,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:13.347,+1.494s,32
20,3,Daniel Ricciardo RIC,McLaren Mercedes,1:13.359,+1.506s,28
