Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles Leclerc LEC,Ferrari,1:18.445,,27
2,4,Lando Norris NOR,McLaren Mercedes,1:18.662,+0.217s,29
3,55,Carlos Sainz SAI,Ferrari,1:18.676,+0.231s,29
4,1,Max Verstappen VER,Red Bull Racing RBPT,1:18.728,+0.283s,26
5,3,Daniel Ricciardo RIC,McLaren Mercedes,1:18.872,+0.427s,27
6,14,Fernando Alonso ALO,Alpine Renault,1:19.049,+0.604s,30
7,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:19.253,+0.808s,31
8,63,George Russell RUS,Mercedes,1:19.355,+0.910s,28
9,11,Sergio Perez PER,Red Bull Racing RBPT,1:19.397,+0.952s,28
10,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:19.411,+0.966s,30
11,44,Lewis Hamilton HAM,Mercedes,1:19.547,+1.102s,23
12,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:19.605,+1.160s,26
13,31,Esteban Ocon OCO,Alpine Renault,1:19.614,+1.169s,27
14,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:19.702,+1.257s,30
15,10,Pierre Gasly GAS,AlphaTauri RBPT,1:19.730,+1.285s,28
16,20,Kevin Magnussen MAG,Haas Ferrari,1:19.818,+1.373s,29
17,47,Mick Schumacher MSC,Haas Ferrari,1:19.985,+1.540s,28
18,6,Nicholas Latifi LAT,Williams Mercedes,1:20.488,+2.043s,30
19,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:20.521,+2.076s,31
20,23,Alexander Albon ALB,Williams Mercedes,1:20.615,+2.170s,20
