Pos,No,Driver,Car,Time,Gap,Laps
1,55,Carlos Sainz SAI,Ferrari,1:21.664,,24
2,1,Max Verstappen VER,Red Bull Racing RBPT,1:21.807,+0.143s,27
3,16,Charles Leclerc LEC,Ferrari,1:21.857,+0.193s,23
4,4,Lando Norris NOR,McLaren Mercedes,1:22.338,+0.674s,29
5,63,George Russell RUS,Mercedes,1:22.386,+0.722s,24
6,11,Sergio Perez PER,Red Bull Racing RBPT,1:22.394,+0.730s,26
7,44,Lewis Hamilton HAM,Mercedes,1:22.503,+0.839s,25
8,31,Esteban Ocon OCO,Alpine Renault,1:22.728,+1.064s,29
9,14,Fernando Alonso ALO,Alpine Renault,1:22.752,+1.088s,28
10,23,Alexander Albon ALB,Williams Mercedes,1:22.835,+1.171s,24
11,3,Daniel Ricciardo RIC,McLaren Mercedes,1:22.911,+1.247s,26
12,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:22.938,+1.274s,30
13,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:22.993,+1.329s,26
14,10,Pierre Gasly GAS,AlphaTauri RBPT,1:23.135,+1.471s,25
15,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:23.217,+1.553s,31
16,20,Kevin Magnussen MAG,Haas Ferrari,1:23.557,+1.893s,25
17,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:23.731,+2.067s,26
18,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:23.785,+2.121s,27
19,6,Nicholas Latifi LAT,Williams Mercedes,1:23.982,+2.318s,23
20,47,Mick Schumacher MSC,Haas Ferrari,1:24.586,+2.922s,9
