Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio Perez PER,Red Bull Racing RBPT,1:43.170,,18
2,16,Charles Leclerc LEC,Ferrari,1:43.240,+0.070s,19
3,1,Max Verstappen VER,Red Bull Racing RBPT,1:43.449,+0.279s,14
4,55,Carlos Sainz SAI,Ferrari,1:43.596,+0.426s,19
5,4,Lando Norris NOR,McLaren Mercedes,1:44.418,+1.248s,13
6,3,Daniel Ricciardo RIC,McLaren Mercedes,1:44.476,+1.306s,19
7,10,Pierre Gasly GAS,AlphaTauri RBPT,1:44.491,+1.321s,21
8,63,George Russell RUS,Mercedes,1:44.573,+1.403s,17
9,31,Esteban Ocon OCO,Alpine Renault,1:44.685,+1.515s,15
10,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:44.689,+1.519s,18
11,14,Fernando Alonso ALO,Alpine Renault,1:44.842,+1.672s,14
12,44,Lewis Hamilton HAM,Mercedes,1:44.845,+1.675s,19
13,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:44.879,+1.709s,17
14,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:44.913,+1.743s,18
15,20,Kevin Magnussen MAG,Haas Ferrari,1:44.919,+1.749s,17
16,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:44.964,+1.794s,20
17,23,Alexander Albon ALB,Williams Mercedes,1:45.479,+2.309s,17
18,47,Mick Schumacher MSC,Haas Ferrari,1:45.532,+2.362s,19
19,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:45.574,+2.404s,17
20,6,Nicholas Latifi LAT,Williams Mercedes,1:46.070,+2.900s,17
