Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max Verstappen VER,Red Bull Racing RBPT,1:35.825,,22
2,16,Charles Leclerc LEC,Ferrari,1:36.145,+0.320s,18
3,55,Carlos Sainz SAI,Ferrari,1:36.271,+0.446s,24
4,11,Sergio Perez PER,Red Bull Racing RBPT,1:36.397,+0.572s,20
5,44,Lewis Hamilton HAM,Mercedes,1:36.401,+0.576s,17
6,14,Fernando Alonso ALO,Alpine Renault,1:36.928,+1.103s,14
7,63,George Russell RUS,Mercedes,1:37.064,+1.239s,21
8,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:37.151,+1.326s,19
9,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:37.215,+1.390s,20
10,10,Pierre Gasly GAS,AlphaTauri RBPT,1:37.290,+1.465s,18
11,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:37.310,+1.485s,23
12,4,Lando Norris NOR,McLaren Mercedes,1:37.449,+1.624s,19
13,31,Esteban Ocon OCO,Alpine Renault,1:37.468,+1.643s,18
14,20,Kevin Magnussen MAG,Haas Ferrari,1:37.519,+1.694s,21
15,3,Daniel Ricciardo RIC,McLaren Mercedes,1:37.622,+1.797s,16
16,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:37.888,+2.063s,19
17,23,Alexander Albon ALB,Williams Mercedes,1:37.904,+2.079s,18
18,6,Nicholas Latifi LAT,Williams Mercedes,1:38.028,+2.203s,18
19,47,Mick Schumacher MSC,Haas Ferrari,1:38.132,+2.307s,12
20,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:39.735,+3.910s,3
