Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max Verstappen VER,Red Bull Racing RBPT,1:44.581,1:44.723,1:43.665,9
2,55,Carlos Sainz SAI,Ferrari,1:45.050,1:45.418,1:44.297,14
3,11,Sergio Perez PER,Red Bull Racing RBPT,1:45.377,1:44.794,1:44.462,12
4,16,Charles Leclerc LEC,Ferrari,1:45.572,1:44.551,1:44.553,14
5,31,Esteban Ocon OCO,Alpine Renault,1:46.039,1:45.475,1:45.180,15
6,14,Fernando Alonso ALO,Alpine Renault,1:46.075,1:45.552,1:45.368,16
7,44,Lewis Hamilton HAM,Mercedes,1:45.736,1:45.420,1:45.503,20
8,63,George Russell RUS,Mercedes,1:45.650,1:45.461,1:45.776,20
9,23,Alexander Albon ALB,Williams Mercedes,1:45.672,1:45.675,1:45.837,18
10,4,Lando Norris NOR,McLaren Mercedes,1:45.745,1:45.603,1:46.178,14
11,3,Daniel Ricciardo RIC,McLaren Mercedes,1:46.212,1:45.767,,9
12,10,Pierre Gasly GAS,AlphaTauri RBPT,1:46.183,1:45.827,,12
13,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:46.178,1:46.085,,12
14,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:46.256,1:46.611,,12
15,47,Mick Schumacher MSC,Haas Ferrari,1:46.342,1:47.718,,13
16,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:46.344,,,6
17,6,Nicholas Latifi LAT,Williams Mercedes,1:46.401,,,7
18,20,Kevin Magnussen MAG,Haas Ferrari,1:46.557,,,6
19,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:46.692,,,6
20,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:47.866,,,5
