Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,20,Kevin Magnussen MAG,Haas Ferrari,1:13.954,1:11.410,1:11.674,26
2,1,Max Verstappen VER,Red Bull Racing RBPT,1:13.625,1:10.881,1:11.877,23
3,63,George Russell RUS,Mercedes,1:14.427,1:11.318,1:12.059,24
4,4,Lando Norris NOR,McLaren Mercedes,1:13.106,1:11.377,1:12.263,25
5,55,Carlos Sainz SAI,Ferrari,1:14.680,1:10.890,1:12.357,24
6,31,Esteban Ocon OCO,Alpine Renault,1:14.663,1:11.587,1:12.425,22
7,14,Fernando Alonso ALO,Alpine Renault,1:13.542,1:11.394,1:12.504,21
8,44,Lewis Hamilton HAM,Mercedes,1:13.403,1:11.539,1:12.611,25
9,11,Sergio Perez PER,Red Bull Racing RBPT,1:13.613,1:11.456,1:15.601,26
10,16,Charles Leclerc LEC,Ferrari,1:14.486,1:10.950,DNF,25
11,23,Alexander Albon ALB,Williams Mercedes,1:14.324,1:11.631,,21
12,10,Pierre Gasly GAS,AlphaTauri RBPT,1:14.371,1:11.675,,24
13,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:13.597,1:11.678,,23
14,3,Daniel Ricciardo RIC,McLaren Mercedes,1:14.931,1:12.140,,21
15,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:14.398,1:12.210,,24
16,6,Nicholas Latifi LAT,Williams Mercedes,1:15.095,,,13
17,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:15.197,,,12
18,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:15.486,,,13
19,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:16.264,,,12
20,47,Mick Schumacher MSC,Haas Ferrari,1:16.361,,,12
