Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max Verstappen VER,Red Bull Racing RBPT,1:30.224,1:30.346,1:29.304,13
2,16,Charles Leclerc LEC,Ferrari,1:30.402,1:30.486,1:29.314,13
3,55,Carlos Sainz SAI,Ferrari,1:30.336,1:30.444,1:29.361,13
4,11,Sergio Perez PER,Red Bull Racing RBPT,1:30.622,1:29.925,1:29.709,15
5,31,Esteban Ocon OCO,Alpine Renault,1:30.696,1:30.357,1:30.165,18
6,44,Lewis Hamilton HAM,Mercedes,1:30.906,1:30.443,1:30.261,20
7,14,Fernando Alonso ALO,Alpine Renault,1:30.603,1:30.343,1:30.322,15
8,63,George Russell RUS,Mercedes,1:30.865,1:30.465,1:30.389,19
9,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:31.256,1:30.656,1:30.554,15
10,4,Lando Norris NOR,McLaren Mercedes,1:30.881,1:30.473,1:31.003,18
11,3,Daniel Ricciardo RIC,McLaren Mercedes,1:30.880,1:30.659,,11
12,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:31.226,1:30.709,,12
13,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:31.130,1:30.808,,15
14,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:30.894,1:30.953,,12
15,47,Mick Schumacher MSC,Haas Ferrari,1:31.152,1:31.439,,12
16,23,Alexander Albon ALB,Williams Mercedes,1:31.311,,,6
17,10,Pierre Gasly GAS,AlphaTauri RBPT,1:31.322,,,9
18,20,Kevin Magnussen MAG,Haas Ferrari,1:31.352,,,6
19,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:31.419,,,6
20,6,Nicholas Latifi LAT,Williams Mercedes,1:31.511,,,8
