Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max Verstappen VER,Red Bull Racing RBPT,1:11.317,1:10.927,1:10.342,12
2,16,Charles Leclerc LEC,Ferrari,1:11.443,1:10.988,1:10.363,18
3,55,Carlos Sainz SAI,Ferrari,1:11.767,1:10.814,1:10.434,18
4,44,Lewis Hamilton HAM,Mercedes,1:11.331,1:11.075,1:10.648,18
5,11,Sergio Perez PER,Red Bull Racing RBPT,1:11.641,1:11.314,1:11.077,19
6,63,George Russell RUS,Mercedes,1:11.561,1:10.824,1:11.147,18
7,4,Lando Norris NOR,McLaren Mercedes,1:11.556,1:11.116,1:11.174,18
8,47,Mick Schumacher MSC,Haas Ferrari,1:11.741,1:11.420,1:11.442,21
9,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:11.427,1:11.428,1:12.556,21
10,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:11.568,1:11.416,,14
11,10,Pierre Gasly GAS,AlphaTauri RBPT,1:11.705,1:11.512,,15
12,31,Esteban Ocon OCO,Alpine Renault,1:11.748,1:11.605,,12
13,14,Fernando Alonso ALO,Alpine Renault,1:11.667,1:11.613,,11
14,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:11.826,1:11.704,,15
15,23,Alexander Albon ALB,Williams Mercedes,1:11.695,1:11.802,,16
16,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:11.961,,,9
17,3,Daniel Ricciardo RIC,McLaren Mercedes,1:12.081,,,8
18,20,Kevin Magnussen MAG,Haas Ferrari,1:12.319,,,9
19,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:12.391,,,8
20,6,Nicholas Latifi LAT,Williams Mercedes,1:13.353,,,5
