Pos,No,Driver,Car,Time
1,1,Max Verstappen VER,Red Bull Racing RBPT,1:27.999
2,16,Charles Leclerc LEC,Ferrari,1:28.778
3,4,Lando Norris NOR,McLaren Mercedes,1:29.131
4,20,Kevin Magnussen MAG,Haas Ferrari,1:29.164
5,14,Fernando Alonso ALO,Alpine Renault,1:29.202
6,3,Daniel Ricciardo RIC,McLaren Mercedes,1:29.742
7,11,Sergio Perez PER,Red Bull Racing RBPT,1:29.808
8,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:30.439
9,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:31.062
10,55,Carlos Sainz SAI,Ferrari,
11,63,George Russell RUS,Mercedes,1:20.757
12,47,Mick Schumacher MSC,Haas Ferrari,1:20.916
13,44,Lewis Hamilton HAM,Mercedes,1:21.138
14,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:21.434
15,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:28.119
16,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:20.474
17,10,Pierre Gasly GAS,AlphaTauri RBPT,1:20.732
18,6,Nicholas Latifi LAT,Williams Mercedes,1:21.971
19,31,Esteban Ocon OCO,Alpine Renault,1:22.338
20,23,Alexander Albon ALB,Williams Mercedes,
