Pos,No,Driver,Car,Laps,Time/Retired,PTS
1,1,Max Verstappen VER,Red Bull Racing RBPT,21,30:39.567,8
2,16,Charles Leclerc LEC,Ferrari,21,+2.975s,7
3,11,Sergio Perez PER,Red Bull Racing RBPT,21,+4.721s,6
4,55,Carlos Sainz SAI,Ferrari,21,+17.578s,5
5,4,Lando Norris NOR,McLaren Mercedes,21,+24.561s,4
6,3,Daniel Ricciardo RIC,McLaren Mercedes,21,+27.740s,3
7,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,21,+28.133s,2
8,20,Kevin Magnussen MAG,Haas Ferrari,21,+30.712s,1
9,14,Fernando Alonso ALO,Alpine Renault,21,+32.278s,0
10,47,Mick Schumacher MSC,Haas Ferrari,21,+33.773s,0
11,63,George Russell RUS,Mercedes,21,+36.284s,0
12,22,Yuki Tsunoda TSU,AlphaTauri RBPT,21,+38.298s,0
13,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,21,+40.177s,0
14,44,Lewis Hamilton HAM,Mercedes,21,+41.459s,0
15,18,Lance Stroll STR,Aston Martin Aramco Mercedes,21,+42.910s,0
16,31,Esteban Ocon OCO,Alpine Renault,21,+43.517s,0
17,10,Pierre Gasly GAS,AlphaTauri RBPT,21,+43.794s,0
18,23,Alexander Albon ALB,Williams Mercedes,21,+48.871s,0
19,6,Nicholas Latifi LAT,Williams Mercedes,21,+52.017s,0
NC,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,0,DNF,0
