Pos,No,Driver,Car,Time
1,16,Charles Leclerc LEC,Ferrari,1:17.868
2,1,Max Verstappen VER,Red Bull Racing RBPT,1:18.154
3,11,Sergio Perez PER,Red Bull Racing RBPT,1:18.240
4,4,Lando Norris NOR,McLaren Mercedes,1:18.703
5,44,Lewis Hamilton HAM,Mercedes,1:18.825
6,63,George Russell RUS,Mercedes,1:18.933
7,3,Daniel Ricciardo RIC,McLaren Mercedes,1:19.032
8,31,Esteban Ocon OCO,Alpine Renault,1:19.061
9,55,Carlos Sainz SAI,Ferrari,1:19.408
10,14,Fernando Alonso ALO,Alpine Renault,
11,10,Pierre Gasly GAS,AlphaTauri RBPT,1:19.226
12,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:19.410
13,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:19.424
14,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:20.155
15,47,Mick Schumacher MSC,Haas Ferrari,1:20.465
16,20,Kevin Magnussen MAG,Haas Ferrari,1:20.254
17,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:21.149
18,6,Nicholas Latifi LAT,Williams Mercedes,1:21.372
19,18,Lance Stroll STR,Aston Martin Aramco Mercedes,
20,23,Alexander Albon ALB,Williams Mercedes,
