Pos,No,Driver,Car,Time
1,16,Charles Leclerc LEC,Ferrari,1:41.359
2,11,Sergio Perez PER,Red Bull Racing RBPT,1:41.641
3,1,Max Verstappen VER,Red Bull Racing RBPT,1:41.706
4,55,Carlos Sainz SAI,Ferrari,1:41.814
5,63,George Russell RUS,Mercedes,1:42.712
6,10,Pierre Gasly GAS,AlphaTauri RBPT,1:42.845
7,44,Lewis Hamilton HAM,Mercedes,1:42.924
8,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:43.056
9,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:43.091
10,14,Fernando Alonso ALO,Alpine Renault,1:43.173
11,4,Lando Norris NOR,McLaren Mercedes,1:43.398
12,3,Daniel Ricciardo RIC,McLaren Mercedes,1:43.574
13,31,Esteban Ocon OCO,Alpine Renault,1:43.585
14,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:43.790
15,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:44.444
16,20,Kevin Magnussen MAG,Haas Ferrari,1:44.643
17,23,Alexander Albon ALB,Williams Mercedes,1:44.719
18,6,Nicholas Latifi LAT,Williams Mercedes,1:45.367
19,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:45.371
20,47,Mick Schumacher MSC,Haas Ferrari,1:45.775
