Pos,No,Driver,Car,Time
1,16,Charles Leclerc LEC,Ferrari,1:30.558
2,1,Max Verstappen VER,Red Bull Racing RBPT,1:30.681
3,55,Carlos Sainz SAI,Ferrari,1:30.687
4,11,Sergio Perez PER,Red Bull Racing RBPT,1:30.921
5,44,Lewis Hamilton HAM,Mercedes,1:31.238
6,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:31.560
7,20,Kevin Magnussen MAG,Haas Ferrari,1:31.808
8,14,Fernando Alonso ALO,Alpine Renault,1:32.195
9,63,George Russell RUS,Mercedes,1:32.216
10,10,Pierre Gasly GAS,AlphaTauri RBPT,1:32.338
11,31,Esteban Ocon OCO,Alpine Renault,1:31.782
12,47,Mick Schumacher MSC,Haas Ferrari,1:31.998
13,4,Lando Norris NOR,McLaren Mercedes,1:32.008
14,23,Alexander Albon ALB,Williams Mercedes,1:32.664
15,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:33.543
16,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:32.750
17,27,Nico Hulkenberg HUL,Aston Martin Aramco Mercedes,1:32.777
18,3,Daniel Ricciardo RIC,McLaren Mercedes,1:32.945
19,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:33.032
20,6,Nicholas Latifi LAT,Williams Mercedes,1:33.634
