Pos,No,Driver,Car,Time
1,55,Carlos Sainz SAI,Ferrari,1:44.297
2,11,Sergio Perez PER,Red Bull Racing RBPT,1:44.462
3,14,Fernando Alonso ALO,Alpine Renault,1:45.368
4,44,Lewis Hamilton HAM,Mercedes,1:45.503
5,63,George Russell RUS,Mercedes,1:45.776
6,23,Alexander Albon ALB,Williams Mercedes,1:45.837
7,3,Daniel Ricciardo RIC,McLaren Mercedes,1:45.767
8,10,Pierre Gasly GAS,AlphaTauri RBPT,1:45.827
9,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:46.611
10,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:46.344
11,6,Nicholas Latifi LAT,Williams Mercedes,1:46.401
12,20,Kevin Magnussen MAG,Haas Ferrari,1:46.557
13,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:47.866
14,1,Max Verstappen VER,Red Bull Racing RBPT,1:43.665
15,16,Charles Leclerc LEC,Ferrari,1:44.553
16,31,Esteban Ocon OCO,Alpine Renault,1:45.180
17,4,Lando Norris NOR,McLaren Mercedes,1:46.178
18,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:46.085
19,47,Mick Schumacher MSC,Haas Ferrari,1:47.718
20,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:46.692
