Pos,No,Driver,Car,Time
1,16,Charles Leclerc LEC,Ferrari,1:30.872
2,1,Max Verstappen VER,Red Bull Racing RBPT,1:31.176
3,11,Sergio Perez PER,Red Bull Racing RBPT,1:31.335
4,44,Lewis Hamilton HAM,Mercedes,1:31.765
5,4,Lando Norris NOR,McLaren Mercedes,1:32.032
6,63,George Russell RUS,Mercedes,1:32.131
7,14,Fernando Alonso ALO,Alpine Renault,1:32.552
8,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:32.780
9,3,Daniel Ricciardo RIC,McLaren Mercedes,1:32.922
10,31,Esteban Ocon OCO,Alpine Renault,1:33.048
11,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:33.052
12,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:33.276
13,23,Alexander Albon ALB,Williams Mercedes,1:33.307
14,10,Pierre Gasly GAS,AlphaTauri RBPT,1:33.439
15,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:33.439
16,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:33.674
17,47,Mick Schumacher MSC,Haas Ferrari,1:33.701
18,6,Nicholas Latifi LAT,Williams Mercedes,1:33.794
19,55,Carlos Sainz SAI,Ferrari,
20,20,Kevin Magnussen MAG,Haas Ferrari,
