Pos,No,Driver,Car,Time
1,63,George Russell RUS,Mercedes,1:17.377
2,55,Carlos Sainz SAI,Ferrari,1:17.421
3,16,Charles Leclerc LEC,Ferrari,1:17.567
4,4,Lando Norris NOR,McLaren Mercedes,1:17.769
5,31,Esteban Ocon OCO,Alpine Renault,1:18.018
6,14,Fernando Alonso ALO,Alpine Renault,1:18.078
7,44,Lewis Hamilton HAM,Mercedes,1:18.142
8,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:18.157
9,3,Daniel Ricciardo RIC,McLaren Mercedes,1:18.379
10,1,Max Verstappen VER,Red Bull Racing RBPT,1:18.823
11,11,Sergio Perez PER,Red Bull Racing RBPT,1:18.516
12,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:18.573
13,20,Kevin Magnussen MAG,Haas Ferrari,1:18.825
14,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:19.137
15,47,Mick Schumacher MSC,Haas Ferrari,1:19.202
16,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:19.240
17,23,Alexander Albon ALB,Williams Mercedes,1:19.256
18,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:19.273
19,6,Nicholas Latifi LAT,Williams Mercedes,1:19.570
20,10,Pierre Gasly GAS,AlphaTauri RBPT,1:19.527
