Pos,No,Driver,Car,Time
1,1,Max Verstappen VER,Red Bull Racing RBPT,","
2,16,Charles Leclerc LEC,Ferrari,","
3,11,Sergio Perez PER,Red Bull Racing RBPT,","
4,55,Carlos Sainz SAI,Ferrari,","
5,4,Lando Norris NOR,McLaren Mercedes,","
6,3,Daniel Ricciardo RIC,McLaren Mercedes,","
7,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,","
8,20,Kevin Magnussen MAG,Haas Ferrari,","
9,14,Fernando Alonso ALO,Alpine Renault,","
10,47,Mick Schumacher MSC,Haas Ferrari,","
11,63,George Russell RUS,Mercedes,","
12,22,Yuki Tsunoda TSU,AlphaTauri RBPT,","
13,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,","
14,44,Lewis Hamilton HAM,Mercedes,","
15,18,Lance Stroll STR,Aston Martin Aramco Mercedes,","
16,31,Esteban Ocon OCO,Alpine Renault,","
17,10,Pierre Gasly GAS,AlphaTauri RBPT,","
18,23,Alexander Albon ALB,Williams Mercedes,","
19,6,Nicholas Latifi LAT,Williams Mercedes,","
