Pos,No,Driver,Car,Time
1,16,Charles Leclerc LEC,Ferrari,1:20.161
2,63,George Russell RUS,Mercedes,1:21.542
3,4,Lando Norris NOR,McLaren Mercedes,1:21.584
4,3,Daniel Ricciardo RIC,McLaren Mercedes,1:21.925
5,10,Pierre Gasly GAS,AlphaTauri RBPT,1:22.648
6,14,Fernando Alonso ALO,Alpine Renault,
7,1,Max Verstappen VER,Red Bull Racing RBPT,1:20.306
8,45,Nyck De Vries DEV,Williams Mercedes,1:22.471
9,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:22.577
10,6,Nicholas Latifi LAT,Williams Mercedes,1:22.587
11,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:22.636
12,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:22.748
13,11,Sergio Perez PER,Red Bull Racing RBPT,1:21.206
14,31,Esteban Ocon OCO,Alpine Renault,1:22.130
15,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:22.235
16,20,Kevin Magnussen MAG,Haas Ferrari,1:22.908
17,47,Mick Schumacher MSC,Haas Ferrari,1:23.005
18,55,Carlos Sainz SAI,Ferrari,1:20.429
19,44,Lewis Hamilton HAM,Mercedes,1:21.524
20,22,Yuki Tsunoda TSU,AlphaTauri RBPT,
