Pos,No,Driver,Car,Time
1,1,Max Verstappen VER,Red Bull Racing RBPT,1:29.304
2,16,Charles Leclerc LEC,Ferrari,1:29.314
3,55,Carlos Sainz SAI,Ferrari,1:29.361
4,11,Sergio Perez PER,Red Bull Racing RBPT,1:29.709
5,31,Esteban Ocon OCO,Alpine Renault,1:30.165
6,44,Lewis Hamilton HAM,Mercedes,1:30.261
7,14,Fernando Alonso ALO,Alpine Renault,1:30.322
8,63,George Russell RUS,Mercedes,1:30.389
9,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:30.554
10,4,Lando Norris NOR,McLaren Mercedes,1:31.003
11,3,Daniel Ricciardo RIC,McLaren Mercedes,1:30.659
12,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:30.709
13,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:30.808
14,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:30.953
15,47,Mick Schumacher MSC,Haas Ferrari,1:31.439
16,23,Alexander Albon ALB,Williams Mercedes,1:31.311
17,20,Kevin Magnussen MAG,Haas Ferrari,1:31.352
18,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:31.419
19,6,Nicholas Latifi LAT,Williams Mercedes,1:31.511
