Pos,No,Driver,Car,Time
1,1,Max Verstappen VER,Red Bull Racing RBPT,1:17.775
2,63,George Russell RUS,Mercedes,1:18.079
3,44,Lewis Hamilton HAM,Mercedes,1:18.084
4,11,Sergio Perez PER,Red Bull Racing RBPT,1:18.128
5,55,Carlos Sainz SAI,Ferrari,1:18.351
6,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:18.401
7,16,Charles Leclerc LEC,Ferrari,1:18.555
8,4,Lando Norris NOR,McLaren Mercedes,1:18.721
9,14,Fernando Alonso ALO,Alpine Renault,1:18.939
10,31,Esteban Ocon OCO,Alpine Renault,1:19.010
11,3,Daniel Ricciardo RIC,McLaren Mercedes,1:19.325
12,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:19.476
13,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:19.589
14,10,Pierre Gasly GAS,AlphaTauri RBPT,1:19.672
15,47,Mick Schumacher MSC,Haas Ferrari,1:20.419
16,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:20.419
17,23,Alexander Albon ALB,Williams Mercedes,1:20.859
18,6,Nicholas Latifi LAT,Williams Mercedes,1:21.167
19,20,Kevin Magnussen MAG,Haas Ferrari,1:19.833
20,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:20.520
