Pos,No,Driver,Car,Time
1,11,Sergio Perez PER,Red Bull Racing RBPT,1:28.200
2,16,Charles Leclerc LEC,Ferrari,1:28.225
3,55,Carlos Sainz SAI,Ferrari,1:28.402
4,1,Max Verstappen VER,Red Bull Racing RBPT,1:28.461
5,31,Esteban Ocon OCO,Alpine Renault,1:29.068
6,63,George Russell RUS,Mercedes,1:29.104
7,14,Fernando Alonso ALO,Alpine Renault,1:29.147
8,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:29.183
9,10,Pierre Gasly GAS,AlphaTauri RBPT,1:29.254
10,20,Kevin Magnussen MAG,Haas Ferrari,1:29.588
11,4,Lando Norris NOR,McLaren Mercedes,1:29.651
12,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:29.819
13,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:31.009
14,3,Daniel Ricciardo RIC,McLaren Mercedes,1:29.773
15,44,Lewis Hamilton HAM,Mercedes,1:30.343
16,23,Alexander Albon ALB,Williams Mercedes,1:30.492
17,27,Nico Hulkenberg HUL,Aston Martin Aramco Mercedes,1:30.543
18,6,Nicholas Latifi LAT,Williams Mercedes,1:31.817
19,22,Yuki Tsunoda TSU,AlphaTauri RBPT,
