No,Driver,Nationality
1,Max Verstappen VER,Dutch
2,Logan Sargeant SAR,American
3,Daniel Ricciardo RIC,Australian
4,Lando Norris NOR,British
5,Sebastian Vettel VET,German
6,Nicholas Latifi LAT,Canadian
10,Pierre Gasly GAS,French
11,Sergio Perez PER,Mexican
14,Fernando Alonso ALO,Spanish
16,Charles Leclerc LEC,Monegasque
18,Lance Stroll STR,Canadian
19,Antonio Giovinazzi GIO, Italian
20,Kevin Magnussen MAG,Danish
21,Nyck De Vries DEV,Dutch
22,Yuki Tsunoda TSU,Japanese
23,Alexander Albon ALB,Thai-British
24,Zhou Guanyu ZHO,Chinese
28,Patricio O'Ward OWA,Mexican
27,Nico Hulkenberg HUL,German
29,Daniel Ricciardo RIC,Australian
31,Esteban Ocon OCO,French
34,Felipe Drugovich DRU,Brasil
36,Antonio Giovinazzi GIO,Italian
37,Alexander Albon ALB,Thai-British
38,Oliver Bearman BEA,British
39,Robert Shwartzman,Italian
40,Liam Lawson LAW,New Zealander
41,Robert Kubica KUB,Poland
42,Pietro Fittipaldi FIT,Brasil
44,Lewis Hamilton HAM,British
45,Nyck De Vries DEV,Dutch
47,Mick Schumacher MSC,German
50,Roy Nissany NIS,Israel
51,Pietro Fittipaldi FIT,Brasil
55,Carlos Sainz SAI,Spanish
61,Roy Nissany NIS,Israel
63,George Russell RUS,British
77,Valtteri Bottas BOT,Finnish
81,Oscar Piastri PIA,Australian
82,Jack Doohan,Australian
88,Robert Kubica KUB,Poland
98,Roy Nissany NIS,Israel
99,Pietro Fittipaldi FIT,Brasil
